season,metric,metric_label,messi_value,peer_mean,peer_std,z_score,peer_median,robust_z,percentile,rank,cohort_size,min_minutes,cohort
2018/19,npg_minus_npxg90,Non-penalty goals above xG / 90,0.32349,-0.036621,0.102905,3.499448,-0.036064,4.229642,100.0,1,91,900,forwards
2018/19,npxg90,Non-penalty xG / 90,0.741598,0.28348,0.14976,3.059025,0.264239,2.823632,100.0,1,91,900,forwards
2018/19,shots90,Shots / 90,5.658284,2.234826,0.887772,3.856236,2.209493,4.093323,100.0,1,91,900,forwards
2018/19,xa90,Expected assists / 90,0.510416,0.157287,0.078459,4.500821,0.152583,4.597143,100.0,1,91,900,forwards
2018/19,xgbuildup90,xGBuildup / 90,0.356099,0.185119,0.11412,1.498248,0.161468,2.478455,90.10989,10,91,900,forwards
2018/19,xgchain90,xGChain / 90,1.280099,0.525888,0.196289,3.842346,0.500868,4.654884,100.0,1,91,900,forwards
2019/20,key_passes90,Key passes / 90,2.753825,1.136525,0.458583,3.526734,1.048292,5.069391,100.0,1,100,900,forwards
2019/20,npg90,Non-penalty goals / 90,0.625869,0.23731,0.153016,2.539333,0.216144,3.263578,99.0,2,100,900,forwards
2019/20,npg_minus_npxg90,Non-penalty goals above xG / 90,0.08971,-0.013409,0.092213,1.118268,-0.006154,1.01038,89.0,12,100,900,forwards
2019/20,npxg90,Non-penalty xG / 90,0.53616,0.250719,0.132799,2.149414,0.23087,2.57294,97.0,4,100,900,forwards
2019/20,shots90,Shots / 90,4.975661,2.075274,0.799892,3.625973,1.920059,3.712363,100.0,1,100,900,forwards
2019/20,xa90,Expected assists / 90,0.519264,0.141124,0.071686,5.274951,0.139648,5.462546,100.0,1,100,900,forwards
2019/20,xgbuildup90,xGBuildup / 90,0.42364,0.166054,0.092795,2.77585,0.144183,3.239489,99.0,2,100,900,forwards
2019/20,xgchain90,xGChain / 90,1.092876,0.472119,0.180889,3.431698,0.448262,4.099239,100.0,1,100,900,forwards
2020/21,key_passes90,Key passes / 90,2.296984,1.104132,0.532116,2.241714,1.039565,2.268606,98.181818,3,110,900,forwards
2020/21,npg90,Non-penalty goals / 90,0.805436,0.224013,0.162307,3.582239,0.187598,4.217793,100.0,1,110,900,forwards
2020/21,npg_minus_npxg90,Non-penalty goals above xG / 90,0.120503,-0.0006,0.097264,1.245095,0.002811,1.551394,90.909091,11,110,900,forwards
2020/21,npxg90,Non-penalty xG / 90,0.684932,0.224613,0.134698,3.417412,0.201132,3.964748,100.0,1,110,900,forwards
2020/21,shots90,Shots / 90,5.817037,1.904011,0.803114,4.87232,1.819084,5.784744,100.0,1,110,900,forwards
2020/21,xa90,Expected assists / 90,0.340754,0.131233,0.078209,2.678985,0.111744,2.716882,99.090909,2,110,900,forwards
2020/21,xgbuildup90,xGBuildup / 90,0.606683,0.174438,0.112451,3.843848,0.152226,4.685763,100.0,1,110,900,forwards
2020/21,xgchain90,xGChain / 90,1.130798,0.445675,0.180979,3.785655,0.407923,4.179057,100.0,1,110,900,forwards
2014/15,key_passes90,Key passes / 90,2.534084,1.228212,0.612839,2.130856,1.128713,2.539561,97.402597,3,77,1350,forwards
2014/15,npg90,Non-penalty goals / 90,1.013634,0.282062,0.215336,3.397346,0.246094,4.253939,98.701299,2,77,1350,forwards
2014/15,npg_minus_npxg90,Non-penalty goals above xG / 90,0.175196,0.002537,0.096491,1.789385,0.000767,2.139827,96.103896,4,77,1350,forwards
2014/15,npxg90,Non-penalty xG / 90,0.838438,0.279526,0.176332,3.169663,0.245685,3.966504,98.701299,2,77,1350,forwards
2014/15,shots90,Shots / 90,4.988145,2.262925,0.935471,2.913207,2.242525,3.210824,98.701299,2,77,1350,forwards
2014/15,xa90,Expected assists / 90,0.469791,0.157008,0.115968,2.697155,0.121629,4.137599,98.701299,2,77,1350,forwards
2014/15,xgbuildup90,xGBuildup / 90,0.527002,0.151914,0.113848,3.29464,0.119181,5.977398,98.701299,2,77,1350,forwards
2014/15,xgchain90,xGChain / 90,1.460529,0.481646,0.277301,3.530035,0.389137,6.085959,100.0,1,77,1350,forwards
2015/16,key_passes90,Key passes / 90,2.542186,1.427003,0.616658,1.808432,1.271871,2.577557,92.957746,6,71,1350,forwards
2015/16,npg90,Non-penalty goals / 90,0.759354,0.318243,0.236215,1.867415,0.255924,2.476921,94.366197,5,71,1350,forwards
2015/16,npg_minus_npxg90,Non-penalty goals above xG / 90,0.036338,0.007913,0.107413,0.264631,-0.000168,0.479716,69.014085,23,71,1350,forwards
2015/16,npxg90,Non-penalty xG / 90,0.723016,0.31033,0.208243,1.981754,0.262346,2.559498,95.774648,4,71,1350,forwards
2015/16,shots90,Shots / 90,5.216434,2.36264,1.022666,2.790544,2.293689,3.18737,98.591549,2,71,1350,forwards
2015/16,xa90,Expected assists / 90,0.523997,0.191327,0.103745,3.206625,0.174974,3.72974,98.591549,2,71,1350,forwards
2015/16,xgbuildup90,xGBuildup / 90,0.501714,0.192799,0.144355,2.139966,0.142746,4.071342,94.366197,5,71,1350,forwards
2015/16,xgchain90,xGChain / 90,1.386544,0.571139,0.272693,2.990196,0.513739,4.968404,98.591549,2,71,1350,forwards
2016/17,key_passes90,Key passes / 90,2.510593,1.30103,0.594502,2.034581,1.187589,2.605267,94.666667,5,75,1350,forwards
2016/17,npg90,Non-penalty goals / 90,0.985169,0.300822,0.190463,3.593078,0.263672,3.875653,100.0,1,75,1350,forwards
2016/17,npg_minus_npxg90,Non-penalty goals above xG / 90,0.296116,0.040872,0.099695,2.560232,0.019059,3.134534,97.333333,3,75,1350,forwards
2016/17,npxg90,Non-penalty xG / 90,0.689054,0.259949,0.156154,2.747963,0.2237,3.544607,98.666667,2,75,1350,forwards
2016/17,shots90,Shots / 90,5.688559,2.329886,0.955492,3.515126,2.2334,4.010761,98.666667,2,75,1350,forwards
2016/17,xa90,Expected assists / 90,0.443489,0.136513,0.085042,3.609687,0.11825,4.808652,100.0,1,75,1350,forwards
2016/17,xgbuildup90,xGBuildup / 90,0.576277,0.166345,0.121649,3.3698,0.134027,5.971856,98.666667,2,75,1350,forwards
2016/17,xgchain90,xGChain / 90,1.351432,0.470628,0.244726,3.599141,0.39484,6.206906,100.0,1,75,1350,forwards
2017/18,key_passes90,Key passes / 90,2.614357,1.295401,0.605178,2.17945,1.163793,2.45391,97.183099,3,71,1350,forwards
2017/18,npg90,Non-penalty goals / 90,0.961603,0.292451,0.20877,3.205206,0.226415,4.300602,100.0,1,71,1350,forwards
2017/18,npg_minus_npxg90,Non-penalty goals above xG / 90,0.181107,-0.010127,0.103782,1.842641,-0.00487,2.428847,100.0,1,71,1350,forwards
2017/18,npxg90,Non-penalty xG / 90,0.780496,0.302577,0.184862,2.585276,0.273338,2.923592,98.591549,2,71,1350,forwards
2017/18,shots90,Shots / 90,5.889816,2.269916,1.020038,3.548789,2.234899,5.059757,98.591549,2,71,1350,forwards
2017/18,xa90,Expected assists / 90,0.453768,0.163717,0.093651,3.097147,0.142348,3.318437,100.0,1,71,1350,forwards
2017/18,xgbuildup90,xGBuildup / 90,0.650116,0.187405,0.131181,3.527274,0.1445,4.761468,100.0,1,71,1350,forwards
2017/18,xgchain90,xGChain / 90,1.447832,0.544386,0.255368,3.537819,0.491001,5.721003,100.0,1,71,1350,forwards
2018/19,key_passes90,Key passes / 90,3.095414,1.323651,0.554209,3.196922,1.211165,4.102129,100.0,1,74,1350,forwards
2018/19,npg90,Non-penalty goals / 90,1.065089,0.260554,0.177108,4.542625,0.258494,4.2891,100.0,1,74,1350,forwards
2018/19,npg_minus_npxg90,Non-penalty goals above xG / 90,0.32349,-0.024329,0.098061,3.546956,-0.018538,5.053711,100.0,1,74,1350,forwards
2018/19,npxg90,Non-penalty xG / 90,0.741598,0.284883,0.152716,2.990623,0.273339,2.801522,100.0,1,74,1350,forwards
